Query,Category 1,Top Result 1,Category 2,Top Result 2
When will the 2022 Winter Olympics be held?,Results for queries with inner product similarity WITHOUT normalization:,"('The 2022 Winter Olympics will be held in Beijing.', 7.260375499725342)",Results for queries with inner product similarity WITH normalization:,"('The 2022 Winter Olympics will be held in Beijing.', 2.4292664527893066)"
When will the 2022 Winter Olympics be held?,Results for queries with inner product similarity WITHOUT normalization:,"('The 2022 Winter Olympics will be held in Beijing.', 7.260375499725342)",Results for queries with l2 similarity:,"('The 2022 Winter Olympics will be held in Beijing.', 3.5466787815093994)"
When will the 2022 Winter Olympics be held?,Results for queries with inner product similarity WITH normalization:,"('The 2022 Winter Olympics will be held in Beijing.', 2.4292664527893066)",Results for queries with l2 similarity:,"('The 2022 Winter Olympics will be held in Beijing.', 3.5466787815093994)"
Who is learning to play the guitar?,Results for queries with inner product similarity WITHOUT normalization:,"('I am learning to play the guitar.', 6.1333513259887695)",Results for queries with inner product similarity WITH normalization:,"('I am learning to play the guitar.', 2.0171151161193848)"
Who is learning to play the guitar?,Results for queries with inner product similarity WITHOUT normalization:,"('I am learning to play the guitar.', 6.1333513259887695)",Results for queries with l2 similarity:,"('I am learning to play the guitar.', 6.384491920471191)"
Who is learning to play the guitar?,Results for queries with inner product similarity WITH normalization:,"('I am learning to play the guitar.', 2.0171151161193848)",Results for queries with l2 similarity:,"('I am learning to play the guitar.', 6.384491920471191)"
What product should I sell in my electronics store?,Results for queries with inner product similarity WITHOUT normalization:,"('Mallory told me that Smartwatches are selling like hotcakes.', 2.959596633911133)",Results for queries with inner product similarity WITH normalization:,"('Billy and Sally walked to the beach, where they laid out a picnic.', 1.206208348274231)"
What product should I sell in my electronics store?,Results for queries with inner product similarity WITHOUT normalization:,"('Mallory told me that Smartwatches are selling like hotcakes.', 2.959596633911133)",Results for queries with l2 similarity:,"('Billy and Sally walked to the beach, where they laid out a picnic.', 11.538619041442871)"
What product should I sell in my electronics store?,Results for queries with inner product similarity WITH normalization:,"('Billy and Sally walked to the beach, where they laid out a picnic.', 1.206208348274231)",Results for queries with l2 similarity:,"('Billy and Sally walked to the beach, where they laid out a picnic.', 11.538619041442871)"
Where should I go for a night out to have drinks and meet someone?,Results for queries with inner product similarity WITHOUT normalization:,"('Jimmy had said that the bar the Bunker has poor service.', 2.3686683177948)",Results for queries with inner product similarity WITH normalization:,"('I am studying for a Chemistry test', 0.8687830567359924)"
