module,path,family,shape_family,is_runtime_core,inbound,outbound,total
actions,actions.py,actions,other,True,27,3,30
tiny_gameplay_controller,tiny_gameplay_controller.py,tiny,tiny_*,True,15,14,29
tiny_event_handler,tiny_event_handler.py,tiny,tiny_*,True,21,7,28
tiny_strategy_manager,tiny_strategy_manager.py,tiny,tiny_*,True,18,9,27
tiny_graph_manager,tiny_graph_manager.py,tiny,tiny_*,True,12,12,24
tiny_characters,tiny_characters.py,tiny,tiny_*,True,8,16,24
tiny_buildings,tiny_buildings.py,tiny,tiny_*,True,11,3,14
tiny_locations,tiny_locations.py,tiny,tiny_*,True,11,2,13
tiny_globals,tiny_globals.py,tiny,tiny_*,True,10,2,12
tiny_output_interpreter,tiny_output_interpreter.py,tiny,tiny_*,True,10,1,11
tiny_utility_functions,tiny_utility_functions.py,tiny,tiny_*,True,9,2,11
tiny_goap_system,tiny_goap_system.py,tiny,tiny_*,True,8,3,11
tiny_prompt_builder,tiny_prompt_builder.py,tiny,tiny_*,True,7,4,11
tiny_map_controller,tiny_map_controller.py,tiny,tiny_*,True,8,2,10
tiny_types,tiny_types.py,tiny,tiny_*,True,9,0,9
tiny_storytelling_system,tiny_storytelling_system.py,tiny,tiny_*,True,7,1,8
tiny_memories,tiny_memories.py,tiny,tiny_*,True,4,4,8
tiny_items,tiny_items.py,tiny,tiny_*,True,5,2,7
tiny_brain_io,tiny_brain_io.py,tiny,tiny_*,True,6,0,6
tiny_time_manager,tiny_time_manager.py,tiny,tiny_*,True,6,0,6
goap_evaluator,goap_evaluator.py,support,other,True,5,1,6
tiny_storytelling_engine,tiny_storytelling_engine.py,tiny,tiny_*,True,5,1,6
demo_enhanced_llm_interface,demo_enhanced_llm_interface.py,demo,demo_*,False,0,6,6
test_llm_interface_integration,test_llm_interface_integration.py,test,test_*,False,0,6,6
demo_character_factory,demo_character_factory.py,demo,demo_*,False,5,0,5
demo_map_location_integration,demo_map_location_integration.py,demo,demo_*,False,0,5,5
test_global_graph_manager,test_global_graph_manager.py,test,test_*,False,0,5,5
test_integration_global_graph_manager,test_integration_global_graph_manager.py,test,test_*,False,0,5,5
test_llm_decision_integration,test_llm_decision_integration.py,test,test_*,False,0,5,5
effect_dispatcher,effect_dispatcher.py,support,other,True,2,2,4
